Asset Class,Compound Return (%),Annualized Volatility (%),SR,U.S. Long Treasuries,U.S. Long Corporate Bonds,U.S. Aggregate Bonds,World ex-U.S. Government Bonds hedged,U.S. High Yield Bonds,U.S. Large Cap,U.S. Small Cap,EAFE Equity,U.S. REITs,U.S. Core Real Estate,Global Core Infrastructure,Private Equity,Diversified Hedge Funds,Macro Hedge Funds
Money Market,3.1,,,,,,,,,,,,,,,,
U.S. Long Treasuries,4.3,12.83,0.09,,,,,,,,,,,,,,
U.S. Long Corporate Bonds,4.9,12.08, 0.15 ,0.67,,,,,,,,,,,,,
U.S. Aggregate Bonds,4.6,4.52,0.33,0.85,0.87,,,,,,,,,,,,
World ex-U.S. Government Bonds hedged,3.8,3.81,0.18,0.74,0.66,0.79,,,,,,,,,,,
U.S. High Yield Bonds,6.1,8.52,0.35,0,0.6,0.38,0.74,,,,,,,,,,
U.S. Large Cap,6.7,16.26,0.22,-0.03,0.47,0.26,0.08,0.74,,,,,,,,,
U.S. Small Cap,6.9,20.73,0.18,-0.1,0.38,0.18,0.08,0.71,0.9,,,,,,,,
EAFE Equity,8.1,17.61,0.28,-0.04,0.52,0.3,0.11,0.77,0.88,0.8,,,,,,,
U.S. REITs,8,17.22,0.28,0.19,0.54,0.39,0.3,0.67,0.77,0.76,0.71,,,,,,
U.S. Core Real Estate,8.1,11.32,0.44,-0.19,-0.02,-0.13,0.16,0.35,0.35,0.29,0.27,0.46,,,,,
Global Core Infrastructure,6.3,11.01,0.29,0.24,0.2,0.04,-0.11,0.57,0.47,0.41,0.55,0.36,0.32,,,,
Private Equity,9.9,19.62,0.35,-0.37,0.26,0,0.15,0.72,0.78,0.75,0.8,0.53,0.34,0.62,,,
Diversified Hedge Funds,4.9,5.8,0.31,-0.21,0.31,0.04,-0.09,0.61,0.68,0.64,0.7,0.42,0.32,0.43,0.79,,
Macro Hedge Funds,3.8,7,0.1,-0.09,0.05,-0.08,0.08,0.1,0.16,0.14,0.24,0.1,0.01,0,0.26,0.48,
