1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c
0.5,-22.319463460383005,57.97786850186534,32.64574703455568,31.695847923961985,2.486123883580005,5.074939995336752,27.752613229862057,31.695847923961985,37.79614726444865,5.914895435792529,6.256245206529985,6.868513539195764,0.15060254865895026
1.0,-22.135301659734765,57.94978340757283,33.33159128868019,30.853926963481744,2.4544908220084594,5.07337357948199,25.508121587322435,30.853926963481744,40.96623769648956,5.736115495404106,6.179130329515044,7.232726652993413,0.14587260749399458
2.0,-21.75535710915866,57.90193516325834,34.782386428141436,29.07103551775888,2.377707022224751,5.069571375224964,22.57401353565879,29.071035517758887,45.832565726549404,5.5167767688125595,6.020758074390526,7.864162692746457,0.13627594948896984
5.0,-20.202216586360123,57.79523713055889,40.91323258236452,21.49374687343672,1.875655202008386,5.044710615879221,15.300733029663274,23.33617620879666,50.51390339869655,5.0267463696866646,5.549906756067187,8.36706113817034,0.10144366050920912
10.0,-18.06924766923761,57.83287372751986,49.68759955452416,10.548774387193598,0.6317396487067972,4.983114015743941,6.684623041023316,12.48211482742796,48.960877106600684,4.525170002832497,4.819459337019756,7.1792498209260325,0.06512942848669166
15.0,-17.263979069576706,57.89275997955667,53.03204950522764,6.339169584792397,-0.007648091362832954,4.951452613286245,4.102634828118547,8.07102516758,37.651459730756876,4.384920837354856,4.568041946508465,5.9666296791300635,0.05464387188182693
20.0,-16.876224204009247,57.89800460234479,54.620040512119694,4.358179089544772,-0.3846850482390085,4.932782379115378,2.6400323873559746,6.278504271141161,59.98572377630106,4.307394636393994,4.466823239518197,6.651427779112883,0.05024227205503474
25.0,-16.64056397094289,57.90037097092004,55.57060820762667,3.1695847923961984,-0.6380952652183192,4.920233932587766,1.8945019846808748,5.147845766596197,51.85836634031828,4.267182870664556,4.404408052211587,5.975046206419169,0.04775426507880113
30.0,-16.471466898446565,57.89058037140222,56.20369793274719,2.3771885942971487,-0.8165680629745209,4.911396260666039,1.472288408956862,4.061026039772452,87.68573138801398,4.24366917910804,4.35032470376214,9.236567135809203,0.04615599246757263
,-18.512870245553614,59.25643512277681,59.25643512277681,,,4.951831333870793,,,,,,,0.04190034967180341
,-25.096918592528805,59.25643512277681,32.92024173487601,32.92024173487601,,0.0513580808209281,,,,,,,0.04190034967180341
