1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c,convergence
0.5,14.832562551321383,22.379243306799296,22.375988038827796,40.41220610305153,36.50823241597458,5.370188320354684,36.85417711789379,40.41220610305153,48.72378689754951,4.906731017971358,4.912859035845583,4.913889689003645,4.912859035845583,True
1.0,15.953332419245491,22.33802425355365,22.336457234154334,39.37218609304652,36.234388323791286,5.359415385130091,34.842586639778624,39.37218609304653,54.32620600481003,4.882194059052309,4.90462799420877,4.906373115020031,4.90462799420877,True
2.0,20.561905803089342,22.236206309774655,22.237405646015436,34.964482241120564,34.798985156924054,5.302947103435394,29.816881328363742,36.92236149780781,60.99280867905183,4.541249185654417,4.858391815362206,4.864549608699814,4.861648507508557,True
5.0,35.244778885392016,22.201207403009107,22.19933637292954,20.354677338669337,24.887845833008136,4.91304618906041,16.3331537526117,24.831816369780103,70.70035520288866,2.496022611658862,4.537813773400873,4.565966999141829,4.562043487483218,True
10.0,43.70348779931553,22.33033522709069,22.32785781401399,11.63831915957979,15.536267396504755,4.545158213311378,9.102177479061153,18.317785004707666,87.56976204102976,0.9875763059434332,4.214469739507372,4.278378396686112,4.274985448437321,True
15.0,47.267950144976645,22.479931497270147,22.47673066390628,7.775387693846923,11.62975640649413,4.3914773742835544,6.307631242936421,15.089632702956568,93.94611608890224,0.5209402869196746,4.075072890455016,4.158249822837654,4.156109663889304,True
20.0,48.583661788959354,22.441078965413404,22.43799061131008,6.537268634317159,9.439350933489777,4.305307553754895,5.31337796998868,15.345564731529715,99.72320250442445,0.07536703952857278,3.9532043025439925,4.08922197655485,4.087432105219584,True
25.0,49.324432909344864,22.390757987361866,22.391362379931586,5.893446723361681,7.971444233142289,4.247560593897155,4.959858616996629,16.286013180597823,99.97723717303803,0.006200140591051915,3.848886242628663,4.04241665844036,4.04082649584383,True
30.0,49.798473418808356,22.35225769050521,22.352020266374282,5.4972486243121566,6.915907122012066,4.2060361161014175,4.6270974759075,20.431556558620613,99.99843849809513,0.0004256754285277755,3.6638097907513787,4.008728310957818,4.007273814991268,True
2m,54.612092246383725,22.69395387680814,22.69395387680814,,,3.9339666372577313,,,,,,,3.780818616304244,
3m,13.006510138902128,22.69395387680814,22.69395387680814,41.605582107481595,,5.402716675789178,,,,,,,4.924972124259988,
