1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c
3m, 68.73 , 14.81 , 8.23 , 8.23 ,, 2.74 ,,,,,,, 2.72 
0.5, 68.88 , 14.75 , 8.30 , 8.07 , 1.29 , 2.73 , 6.94 , 8.07 , 9.98 , 2.96 , 3.00 , 3.06 , 3.98 
1, 68.91 , 14.75 , 8.42 , 7.92 , 1.28 , 2.73 , 6.45 , 7.92 , 11.27 , 2.95 , 2.99 , 3.11 , 3.95 
2, 68.99 , 14.75 , 8.74 , 7.53 , 1.25 , 2.73 , 5.82 , 7.66 , 13.50 , 2.93 , 2.98 , 3.18 , 3.88 
5, 69.21 , 14.75 , 9.65 , 6.39 , 1.13 , 2.73 , 4.60 , 7.25 , 21.15 , 2.88 , 2.97 , 3.45 , 3.68 
10, 69.64 , 14.75 , 11.46 , 4.16 , 0.78 , 2.72 , 2.87 , 5.48 , 30.69 , 2.82 , 2.90 , 3.46 , 3.32 
15, 69.95 , 14.74 , 12.63 , 2.67 , 0.46 , 2.71 , 1.84 , 4.03 , 32.39 , 2.79 , 2.85 , 3.25 , 3.09 
20, 70.11 , 14.75 , 13.31 , 1.83 , 0.23 , 2.70 , 1.31 , 3.45 , 62.96 , 2.77 , 2.82 , 3.13 , 2.97 
25, 70.23 , 14.74 , 13.79 , 1.24 , 0.06 , 2.70 , 0.89 , 2.52 , 69.05 , 2.75 , 2.79 , 3.05 , 2.89 
30, 70.32 , 14.75 , 14.19 , 0.74 , (0.04), 2.70 , 0.57 , 1.87 , 71.13 , 2.74 , 2.77 , 2.99 , 2.82 
2m, 70.37 , 14.81 , 14.81 ,,, 2.70 ,,,,,,, 2.72 
