1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c,convergence
0.5,28.77036782306146,33.7642987985666,18.99259701018785,18.47273636818409,1.2392466754713949,4.436775926605124,16.309597475812783,18.47273636818409,22.242948338651697,4.865647323112004,4.994740774349203,5.236411137865179,4.072075478829477,False
1.0,28.868335962712177,33.75728282147944,19.396892471436203,17.977488744372184,1.2250622589979665,4.4361542993251035,14.994439842493005,17.977488744372184,24.714812859615936,4.78972760747406,4.964060270587269,5.4066437311084705,4.071646894178591,False
2.0,29.061349477184663,33.7490856319655,20.20257139410147,16.986993496748376,1.1911792984657499,4.434669389978698,13.370861681856958,17.28602979023417,28.559185105238065,4.699329091965816,4.92129397875566,5.691006780816974,4.070657708006585,False
5.0,29.859235995847587,33.72390702474933,23.49089399791233,12.925962981490747,0.9811440522930814,4.425464665975321,9.49336278901787,14.455679484983342,35.41144933647703,4.491023777003813,4.750016138603009,6.175626354613984,4.064226161068955,False
10.0,31.049875770751502,33.731842394467336,28.334339863795666,6.883941970985494,0.461244516193271,4.402680243710554,5.069634720383052,8.799611117229,40.14557146923015,4.265234211236997,4.436240159727315,5.999141682575808,4.048486685048181,False
15.0,31.615548013426153,33.74232666924073,30.581094802075498,4.061030515257629,0.1138764961385208,4.387456957093342,2.9537810273963063,6.152892004528933,70.35403697748333,4.161236740285461,4.297863570838406,6.453211208136859,4.03800893791127,False
20.0,31.888162969276223,33.73942042380147,31.698079438338013,2.6743371685842923,-0.10880864980605809,4.377697855488146,2.0264322236975616,4.645689661864577,62.52724901705553,4.114845952805117,4.221633091652545,5.7353860745866845,4.031233239756973,False
25.0,32.06887068790988,33.73455711706113,32.41368074930613,1.7828914457228613,-0.2594746714520202,4.371094967776633,1.2668393845631323,3.0817057247170707,50.9455626638242,4.078385898375462,4.151033443426395,5.247084087745411,4.026560522740774,False
30.0,32.20208657487148,33.73999735304892,32.91884653731223,1.1390695347673836,-0.35683170282470034,4.366828328629617,0.8825281162033275,2.752902557132084,87.67334230519629,4.059528746830325,4.131918636056717,6.620741941872639,4.023582531587911,False
2m,31.918138369575566,34.040930815212214,34.040930815212214,,,4.382466357960447,,,,,,,4.01910513201073,
3m,28.13581272344088,34.040930815212214,18.911628230673454,18.911628230673454,,4.456860149255311,,,,,,,4.070166528233549,
